Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999,Season
1,Precious Achiuwa,PF,21,MIA,61,4,12.1,2,3.7,0.544,0,0,0,2,3.7,0.546,0.544,0.9,1.8,0.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5,achiupr01,1,Precious Achiuwa,PF,21,MIA,61,4,737,8.4,15.4,0.544,0,0.1,0,8.4,15.3,0.546,3.8,7.4,0.509,4.9,9.1,14,2,1.3,1.9,2.9,6.1,20.5,,107,109,achiupr01,1,Precious Achiuwa,PF,21,MIA,61,737,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,,0.3,1,1.3,0.085,,-3.6,-0.5,-4.1,-0.4,achiupr01,1,Precious Achiuwa,PF,21,MIA,61,737,,,,42%,58%,-6.3,-8,14,13,48,14,59,6,79,10,32,achiupr01,1,Precious Achiuwa,PF,21,MIA,61,737,0.544,3.3,,0.996,0.667,0.263,0.039,0.026,0.004,,0.546,0.645,0.367,0.333,0.167,0,,0.734,,,0.259,48,,0,,,0,0,achiupr01,2021
2,Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3,adamsja01,2,Jaylen Adams,PG,24,MIL,7,0,18,2.6,20.9,0.125,0,5.2,0,2.6,15.7,0.167,0,0,,0,7.8,7.8,5.2,0,0,0,2.6,5.2,,45,116,adamsja01,2,Jaylen Adams,PG,24,MIL,7,18,-6.5,0.125,0.25,0,0,16.9,8.8,12.7,0,0,0,18.6,,-0.1,0,-0.1,-0.252,,-15.1,-4.6,-19.8,-0.1,adamsja01,2,Jaylen Adams,PG,24,MIL,7,18,97%,3%,,,,-38.3,-44.1,0,0,1,0,0,0,5,0,0,adamsja01,2,Jaylen Adams,PG,24,MIL,7,18,0.125,11,,0.75,0.25,0.375,0.125,0,0.25,,0.167,0,0,1,,0,,0,,,0,0,,0,,,0,0,adamsja01,2021
3,Steven Adams,C,27,NOP,58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,adamsst01,3,Steven Adams,C,27,NOP,58,58,1605,5.6,9.2,0.614,0,0.1,0,5.6,9.1,0.62,1.8,4,0.444,6.4,9,15.4,3.3,1.6,1.1,2.3,3.4,13.1,,122,112,adamsst01,3,Steven Adams,C,27,NOP,58,1605,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4,0.119,,-0.4,0.1,-0.3,0.7,adamsst01,3,Steven Adams,C,27,NOP,58,1605,,,,,100%,-0.2,0.8,25,27,46,19,53,5,256,6,20,adamsst01,3,Steven Adams,C,27,NOP,58,1605,0.614,3.9,,0.99,0.646,0.276,0.068,0,0.01,,0.62,0.693,0.494,0.429,,0,,0.598,,,0.182,51,,0,,,3,0,adamsst01,2021
4,Bam Adebayo,C,23,MIA,64,64,33.5,7.1,12.5,0.57,0,0.1,0.25,7.1,12.4,0.573,0.571,4.4,5.5,0.799,2.2,6.7,9,5.4,1.2,1,2.6,2.3,18.7,adebaba01,4,Bam Adebayo,C,23,MIA,64,64,2143,10.6,18.5,0.57,0,0.2,0.25,10.5,18.4,0.573,6.6,8.2,0.799,3.3,10,13.3,8,1.7,1.5,3.9,3.4,27.7,,122,108,adebaba01,4,Bam Adebayo,C,23,MIA,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,,5.6,3.2,8.8,0.197,,2.9,2,4.9,3.7,adebaba01,4,Bam Adebayo,C,23,MIA,64,2143,,,,30%,70%,0.4,0.8,82,46,64,30,154,9,873,44,39,adebaba01,4,Bam Adebayo,C,23,MIA,64,2143,0.57,7.6,,0.99,0.353,0.303,0.225,0.11,0.01,,0.573,0.794,0.471,0.456,0.386,0.25,,0.656,1,,0.188,137,,0.125,0,,0,0,adebaba01,2021
5,LaMarcus Aldridge,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1,1.8,13.5,aldrila01,5,LaMarcus Aldridge,C,35,TOT,26,23,674,10.1,21.3,0.473,2.2,5.8,0.388,7.8,15.5,0.505,2.9,3.4,0.872,1.4,7.1,8.5,3.5,0.8,2.1,1.9,3.4,25.3,,109,113,aldrila01,5,LaMarcus Aldridge,C,35,TOT,26,674,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,,0.5,0.6,1.1,0.08,,-0.2,-0.2,-0.3,0.3,aldrila01,5,LaMarcus Aldridge,C,35,TOT,26,674,,,,2%,98%,-3.4,-3.6,13,4,34,6,23,0,124,2,9,aldrila01,5,LaMarcus Aldridge,C,35,TOT,26,674,0.473,15.5,,0.73,0.152,0.122,0.152,0.304,0.27,,0.505,0.622,0.472,0.444,0.489,0.388,,0.688,0.968,,0.044,12,,0.175,0.429,,0,0,aldrila01,2021
5,LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7,aldrila01,5,LaMarcus Aldridge,C,35,SAS,21,18,544,10.3,22.1,0.464,2.4,6.7,0.36,7.9,15.4,0.509,2.8,3.3,0.838,1.5,6.9,8.4,3.2,0.7,1.6,1.8,3.2,25.7,,108,114,aldrila01,5,LaMarcus Aldridge,C,35,SAS,21,544,15.1,0.545,0.302,0.149,3.3,15.4,9.2,10.2,0.7,2.8,7,22.7,,0.3,0.5,0.8,0.067,,-0.2,-0.7,-0.9,0.2,aldrila01,5,LaMarcus Aldridge,C,35,SAS,21,544,,,,3%,98%,-6.5,-5.7,9,3,26,6,18,0,90,2,7,aldrila01,5,LaMarcus Aldridge,C,35,SAS,21,544,0.464,16.6,,0.698,0.109,0.129,0.125,0.335,0.302,,0.509,0.63,0.438,0.452,0.518,0.36,,0.705,0.963,,0.024,6,,0.16,0.417,,0,0,aldrila01,2021
5,LaMarcus Aldridge,C,35,BRK,5,5,26,5,9.6,0.521,0.8,1,0.8,4.2,8.6,0.488,0.563,2,2,1,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,aldrila01,5,LaMarcus Aldridge,C,35,BRK,5,5,130,9.3,17.8,0.521,1.5,1.9,0.8,7.8,16,0.488,3.7,3.7,1,0.7,8.2,8.9,4.8,1.1,4.1,2.6,4.1,23.7,,117,110,aldrila01,5,LaMarcus Aldridge,C,35,BRK,5,130,18.2,0.611,0.104,0.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,,0.2,0.2,0.4,0.135,,0.1,2.1,2.2,0.1,aldrila01,5,LaMarcus Aldridge,C,35,BRK,5,130,,,,,100%,9.6,4.9,4,1,8,0,5,0,34,0,2,aldrila01,5,LaMarcus Aldridge,C,35,BRK,5,130,0.521,9.9,,0.896,0.375,0.083,0.292,0.146,0.104,,0.488,0.611,0.75,0.429,0.143,0.8,,0.619,1,,0.146,6,,0.4,0.5,,0,0,aldrila01,2021
6,Ty-Shon Alexander,SG,22,PHO,15,0,3.1,0.2,0.8,0.25,0.1,0.6,0.222,0.1,0.2,0.333,0.333,0.1,0.1,0.5,0.1,0.5,0.7,0.4,0,0.1,0.2,0.1,0.6,alexaty01,6,Ty-Shon Alexander,SG,22,PHO,15,0,47,3.2,12.6,0.25,2.1,9.5,0.222,1.1,3.2,0.333,1.1,2.1,0.5,2.1,8.4,10.5,6.3,0,1.1,3.2,2.1,9.5,,84,114,alexaty01,6,Ty-Shon Alexander,SG,22,PHO,15,47,4.2,0.349,0.75,0.167,4.9,19,12.1,15.4,0,1.9,18.9,15,,-0.1,0,0,-0.048,,-4.8,-1.7,-6.5,-0.1,alexaty01,6,Ty-Shon Alexander,SG,22,PHO,15,47,,,89%,11%,,-5,-11.3,2,1,1,0,1,0,15,0,0,alexaty01,6,Ty-Shon Alexander,SG,22,PHO,15,47,0.25,22.3,,0.25,0.083,0,0,0.167,0.75,,0.333,1,,,0,0.222,,0,0.5,,0.083,1,,0.111,0,,0,0,alexaty01,2021
7,Nickeil Alexander-Walker,SG,22,NOP,46,13,21.9,4.2,10,0.419,1.7,4.8,0.347,2.5,5.2,0.485,0.502,1,1.4,0.727,0.3,2.8,3.1,2.2,1,0.5,1.5,1.9,11,alexani01,7,Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,9.1,21.8,0.419,3.6,10.4,0.347,5.5,11.4,0.485,2.3,3.1,0.727,0.6,6.2,6.9,4.9,2.2,1,3.3,4.2,24.2,,101,112,alexani01,7,Nickeil Alexander-Walker,SG,22,NOP,46,1007,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,,-0.3,1,0.7,0.035,,-1.4,0.1,-1.3,0.2,alexani01,7,Nickeil Alexander-Walker,SG,22,NOP,46,1007,3%,86%,12%,,,-2.5,-2.7,41,15,47,3,29,11,233,9,34,alexani01,7,Nickeil Alexander-Walker,SG,22,NOP,46,1007,0.419,15.5,,0.522,0.236,0.164,0.041,0.081,0.478,,0.485,0.481,0.52,0.421,0.459,0.347,,0.345,0.921,,0.015,7,,0.283,0.387,,1,1,alexani01,2021
8,Grayson Allen,SG,25,MEM,50,38,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1,1.4,10.6,allengr01,8,Grayson Allen,SG,25,MEM,50,38,1259,6.6,15.7,0.418,4.1,10.4,0.391,2.5,5.3,0.471,3,3.5,0.868,0.7,5.4,6.1,4.1,1.7,0.3,1.8,2.7,20.2,,116,113,allengr01,8,Grayson Allen,SG,25,MEM,50,1259,12.8,0.586,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,0.101,,-0.2,0.1,-0.2,0.6,allengr01,8,Grayson Allen,SG,25,MEM,50,1259,3%,86%,11%,,,0.7,-1.1,29,8,37,6,28,11,258,5,18,allengr01,8,Grayson Allen,SG,25,MEM,50,1259,0.418,19.2,,0.338,0.123,0.126,0.07,0.019,0.662,,0.471,0.667,0.365,0.414,0.125,0.391,,0.606,0.907,,0.029,11,,0.172,0.34,,0,0,allengr01,2021
