Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,ShootFC,OffFC,ShootFD,OffFD,PGA,And1,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,Dunks,C3%3PA,C33P%,Season 
Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,1140,112,113,15.2,0.554,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,,,,17%,83%,-1.5,-3.8,8,21,53,19,59,7,128,15,31,9.8,0.733,0.381,0.267,0.072,0.012,0.267,0.734,0.417,0.276,0.2,0.629,1,0.141,49,0.444,0.25,2023
Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,1133,118,108,17.5,0.564,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,,,,,100%,9.5,8.3,40,10,40,23,51,7,223,15,14,2.6,0.996,0.696,0.281,0.019,0,0.004,0.645,0.5,0.4,,0.503,,0.163,41,1,0,2023
Bam Adebayo,C,25,MIA,75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,2598,115,111,20.1,0.592,0.361,8,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,,,,,100%,1.7,5.4,61,46,86,50,196,10,587,37,49,7.4,0.989,0.298,0.38,0.265,0.047,0.011,0.714,0.478,0.498,0.288,0.601,1,0.136,140,0,,2023
Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,1209,115,121,9.5,0.561,0.179,3.9,6.9,5.4,7.5,0.6,1,9,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3,-0.3,38%,40%,20%,3%,,-0.5,0.9,15,8,65,9,32,3,159,4,20,16.9,0.409,0.15,0.21,0.026,0.023,0.591,0.621,0.494,0.4,0.444,0.762,0.988,0.054,17,0.412,0.457,2023
Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9,1682,120,111,13.9,0.591,0.274,5.4,18,11.7,7.6,1.3,2.6,9.3,16,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,,,2%,69%,29%,2.2,-2.4,19,20,93,11,48,11,231,12,20,14.6,0.493,0.28,0.166,0.03,0.017,0.507,0.707,0.471,0.25,0.444,0.68,0.968,0.118,54,0.391,0.365,2023
Nickeil Alexander-Walker,SG,24,TOT,59,3,15,2.2,5,0.444,1,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,884,109,116,11.6,0.565,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,2%,39%,51%,8%,,-2.5,-2,38,9,59,3,25,23,262,6,13,16.9,0.461,0.139,0.207,0.044,0.071,0.539,0.634,0.443,0.385,0.571,0.329,0.803,0.01,2,0.277,0.386,2023
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,528,111,116,13,0.609,0.229,1.7,10.3,6,19.9,2.2,2.2,19.4,18.4,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3,,34%,57%,10%,,-2.2,-1.2,31,8,38,3,16,16,183,3,5,16.5,0.488,0.118,0.247,0.059,0.065,0.512,0.65,0.524,0.4,0.818,0.313,0.714,0.006,1,0.241,0.381,2023
Nickeil Alexander-Walker,SG,24,MIN,23,0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9,356,106,116,9.6,0.503,0.168,2.2,10.8,6.6,12,1.1,1.7,6.9,17.3,0,0.3,0.3,0.044,-2.5,-0.5,-3,-0.1,5%,48%,42%,5%,,-2.9,-3,7,1,21,0,9,7,79,3,8,17.4,0.424,0.168,0.152,0.024,0.08,0.576,0.619,0.263,0.333,0.3,0.364,0.923,0.016,1,0.319,0.391,2023
Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4,1972,123,114,12.3,0.612,0.226,3.4,9,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1,5%,75%,21%,,,5.7,4.1,49,11,68,1,44,23,409,7,22,18.7,0.343,0.18,0.104,0.054,0.005,0.657,0.67,0.345,0.4,0,0.606,0.884,0.027,12,0.213,0.474,2023
Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,2220,132,108,19.9,0.67,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4,9.5,0.205,1.3,1,2.4,2.4,,,,,100%,7.9,4.9,41,18,91,17,100,13,271,20,44,4.4,0.984,0.575,0.307,0.075,0.027,0.016,0.764,0.51,0.511,0.294,0.774,1,0.319,179,0.6,0,2023
