Player,Salary
Kevin Garnett,22400000
Shaquille O'Neal,21428572
Alonzo Mourning,18754800
Juwan Howard,18750000
Scottie Pippen,18083564
Karl Malone,17500000
Jayson Williams,15125000
Rasheed Wallace,14400000
Dikembe Mutombo,14315790
Gary Payton,12926493
Chris Webber,12750000
Allan Houston,12750000
Shawn Kemp,12660000
Damon Stoudamire,12375000
Reggie Miller,12045075
Antonio McDyess,11700000
Bryant Reeves,11555554
Larry Johnson,11335714
Stephon Marbury,11250000
Anfernee Hardaway,11250000
Allen Iverson,11250000
Vin Baker,11250000
Latrell Sprewell,11250000
Ray Allen,11250000
Kobe Bryant,11250000
Zydrunas Ilgauskas,11250000
Antoine Walker,11250000
Shareef Abdur-Rahim,11250000
Antonio Davis,11000000
Mitch Richmond,11000000
Tim Duncan,10865250
Tracy McGrady,10865250
Grant Hill,10865250
Jalen Rose,10865250
Keith Van Horn,10865250
Michael Finley,10625000
Vlade Divac,10444642
Nick Van Exel,10164642
Tom Gugliotta,10114000
Eddie Jones,10091250
Brian Grant,9925076
Tim Thomas,9675000
Theo Ratliff,9667969
David Robinson,9500000
Terrell Brandon,9300000
Steve Smith,9000000
Glenn Robinson,8990000
Glen Rice,8800000
Derrick Coleman,8710000
Jason Kidd,8447500
Kenny Anderson,8350000
Kerry Kittles,8166667
Matt Geiger,8142160
Elden Campbell,7975000
Toni Kukoc,7906783
Clifford Robinson,7656250
Marcus Camby,7300000
Chris Dudley,7200000
Dale Davis,7010000
John Stockton,7000000
Jamal Mashburn,6975000
Greg Ostertag,6933328
Ron Mercer,6750000
Tyrone Hill,6600000
Charles Oakley,6545000
Donyell Marshall,6510000
Alan Henderson,6500312
Maurice Taylor,6500000
Derek Anderson,6495000
PJ Brown,6404800
Luc Longley,6325000
Jermaine O'Neal,6325000
Austin Croshere,6310000
Wesley Person,6300000
Erick Dampier,6235000
Kelvin Cato,6048000
Bo Outlaw,6000000
Derrick McKey,6000000
Jim McIlvaine,6000000
Jerry Stackhouse,5843750
Steve Nash,5750000
Isaac Austin,5695715
Shandon Anderson,5500000
Lorenzen Wright,5500000
Nick Anderson,5401906
Mookie Blaylock,5400000
Chris Mills,5400000
Alvin Williams,5350000
Robert Horry,5300000
Loy Vaught,5222025
Bobby Phills,5220000
Bob Sura,5213333
Chris Childs,5200000
Doug Christie,5200000
Eddie Robinson,5170000
Bryon Russell,5142857
Charlie Ward,5110000
Tariq Abdul-Wahad,5062500
Hakeem Olajuwon,5061539
Jerome Williams,5000000
Predrag Stojakovic,5000000
Walt Williams,5000000
Jason Caffey,4812500
Howard Eisley,4781250
Vitaly Potapenko,4762500
Rod Strickland,4750000
Ben Wallace,4700000
Brent Barry,4680000
Michael Olowokandi,4662472
Scott Williams,4650000
Danny Fortson,4649534
Clarence Weatherspoon,4638000
Calvin Booth,4539000
Ruben Patterson,4538000
Joe Smith,4538000
Anthony Mason,4538000
Avery Johnson,4538000
Todd MacCulloch,4538000
Christian Laettner,4500000
Brevin Knight,4500000
Shawn Bradley,4500000
Nazr Mohammed,4500000
Eric Williams,4448000
Jahidi White,4413375
Rashard Lewis,4413375
Kurt Thomas,4413375
Cuttino Mobley,4413375
Adonal Foyle,4400000
Brad Miller,4400000
Sam Cassell,4350000
Scot Pollard,4344187
Voshon Lenard,4252435
Mike Bibby,4174893
Darrell Armstrong,4005000
Aaron McKie,4000000
Corliss Williamson,4000000
Elton Brand,3882360
Derek Strong,3861000
Mark Jackson,3860000
Rex Chapman,3850000
Michael Stewart,3840000
Kenyon Martin,3801960
Rick Fox,3791250
Raef LaFrentz,3755142
Eric Snow,3750000
Lamond Murray,3750000
Kwame Brown,3697440
Brent Price,3680000
Ervin Johnson,3670929
Jud Buechler,3600000
Travis Knight,3600000
Moochie Norris,3600000
Tony Battie,3600000
Zeljko Rebraca,3500000
Steve Francis,3473520
Lindsey Hunter,3425760
Stromile Swift,3401640
Tracy Murray,3400000
Antawn Jamison,3388176
Travis Best,3375000
Tim Hardaway,3360390
Tyson Chandler,3308160
Chucky Atkins,3300000
Tyrone Nesby,3260000
Anthony Carter,3250000
Marc Jackson,3250000
Dean Garrett,3240000
David Wesley,3240000
Jon Barry,3175000
Walter McCarty,3125000
Baron Davis,3119400
Vince Carter,3073032
Darius Miles,3054840
Evan Eschmeyer,3038000
Lawrence Funderburke,3025000
Jaren Jackson Jr,3020834
Antonio Daniels,3000000
LaPhonso Ellis,3000000
Derek Fisher,3000000
Eric Piatkowski,3000000
Kevin Willis,3000000
Cedric Henderson,3000000
Greg Anthony,3000000
Anthony Peeler,2978500
Pau Gasol,2970840
Andrew DeClercq,2900000
Lamar Odom,2812320
Robert Traylor,2793505
Marcus Fizer,2754120
Chris Whitney,2700000
Eddy Curry,2678400
Johnny Newman,2675000
John Wallace,2630000
Jason Williams,2554072
Jonathan Bender,2546760
Matt Maloney,2543750
Mikki Moore,2531250
Chris Gatling,2504227
Chris Crawford,2500000
Mike Miller,2494080
Eric Montross,2480000
John Starks,2475000
Bobby Jackson,2475000
Tony Delk,2475000
Othella Harrington,2475000
Chauncey Billups,2475000
Aaron Williams,2475000
Randy Brown,2475000
Jason Richardson,2425440
Horace Grant,2419580
Hubert Davis,2418750
Steve Kerr,2406250
Michael Smith,2400000
Terry Porter,2400000
Rodney Rogers,2400000
Grant Long,2400000
Sean Rooks,2400000
Michael Curry,2400000
George McCloud,2400000
Calbert Cheaney,2400000
Stacey Augmon,2400000
George Lynch,2400000
Lucious Harris,2400000
Jamie Feick,2400000
Larry Hughes,2343635
Wally Szczerbiak,2313240
Malik Rose,2285000
Vinny Del Negro,2275000
DerMarr Johnson,2265240
Shane Battier,2203080
Bimbo Coles,2200000
John Amaechi,2175000
Dirk Nowitzki,2157595
Patrick Ewing,2118420
Richard Hamilton,2111640
Dell Curry,2100000
Chris Mihm,2067960
Paul Pierce,2051271
Bonzi Wells,2028239
Eddie Griffin,2011080
Michael Doleac,2000856
Bryant Stith,2000000
Cory Alexander,1995741
Keon Clark,1971163
Michael Dickerson,1940702
Andre Miller,1934520
Matt Harpring,1908401
Jamal Crawford,1894560
Lorenzo Williams,1880000
DeSagana Diop,1842480
Tom Hammonds,1800000
Shawn Marion,1778160
Greg Foster,1764247
Darvin Ham,1760000
Shammond Williams,1750000
Joel Przybilla,1741440
Radoslav Nesterovic,1725788
Tyronn Lue,1700000
Rodney White,1693560
Jason Terry,1689360
Keyon Dooling,1654320
Tony Massenburg,1650000
Corie Blount,1609235
Joe Johnson,1608840
Trajan Langdon,1604880
Dana Barros,1600000
Fred Hoiberg,1600000
Jerome Moiso,1571640
Pat Garrity,1569691
Kendall Gill,1538000
Kedrick Brown,1528440
Aleksandar Radojevic,1524600
Muggsy Bogues,1520860
Roshown McLeod,1509001
Popeye Jones,1500000
Danny Manning,1500000
Ricky Davis,1496400
Etan Thomas,1493040
Brian Skinner,1483461
Vladimir Radmanovic,1452000
Corey Maggette,1448400
Al Harrington,1436982
Courtney Alexander,1418400
Samaki Walker,1400000
Richard Jefferson,1379400
William Avery,1375920
Mateen Cleaves,1347480
Will Perdue,1320000
Troy Murphy,1310400
Eldridge Recasner,1300000
Matt Bullard,1300000
Bryce Drew,1300000
Jason Collier,1280040
Steven Hunter,1244880
