,NRtg,player1,player2,player3,player4,player5,player6,player7,player8
0,6.7,36,32,21,16,12,11,9,8
1,5.62,24,13,11,9,8,7,5,3
2,4.35,17,15,11,10,8,4,3,1
3,3.93,22,20,13,10,9,9,8,6
4,3.49,22,13,9,9,7,6,6,6
5,3.03,32,32,13,8,8,7,3,0
6,3.34,24,9,5,5,4,3,3,2
7,2.49,24,18,11,9,7,2,2,2
8,2.12,10,8,6,4,3,1,1,1
9,1.51,13,6,5,3,3,1,0,0
10,1.88,24,14,10,8,6,6,5,3
11,1.75,36,9,8,8,4,4,2,-1
12,1.36,25,13,10,10,7,6,6,2
13,1.0,24,9,7,2,0,-3,-4,-7
14,1.03,12,12,9,6,4,4,3,3
15,0.55,16,12,10,1,-2,-5,-5,-6
16,0.29,24,22,2,1,-1,-3,-3,-4
17,0.51,13,12,6,6,6,3,0,-1
18,0.06,24,7,3,2,0,-1,-3,-3
19,0.02,18,13,10,8,4,3,3,2
20,-0.41,23,19,11,10,4,0,0,-4
21,-1.02,29,17,11,9,3,-1,-6,-11
22,-1.28,22,15,8,8,7,4,0,-1
23,-2.57,8,6,6,6,3,2,-1,-1
24,-3.16,11,7,6,-1,-3,-3,-8,-8
25,-4.11,15,5,-1,-2,-3,-10,-12,-12
26,-6.28,17,15,-7,-7,-8,-9,-9,-10
27,-8.02,10,5,4,1,-5,-8,-9,-11
28,-8.33,10,1,-1,-2,-3,-4,-5,-7
29,-9.85,6,2,1,-2,-3,-6,-10,-11
30,7.66,46,23,20,16,13,10,8,7
31,7.48,19,17,16,15,14,14,4,4
32,6.16,34,28,17,11,9,8,3,3
33,5.65,26,23,17,14,8,7,6,6
34,5.56,30,24,17,13,9,5,5,4
35,4.62,16,13,12,11,10,8,8,4
36,3.55,32,9,8,6,5,3,2,2
37,3.31,18,12,11,8,5,5,3,1
38,2.59,26,22,14,8,6,1,-2,-5
39,2.38,16,16,13,6,5,4,2,1
40,2.54,19,11,11,10,8,6,4,0
41,2.33,21,11,10,7,5,5,4,1
42,2.13,26,20,11,9,7,7,2,0
43,1.58,27,23,14,12,8,3,1,-2
44,0.76,19,10,9,7,7,3,2,-4
45,0.5,11,9,6,3,2,2,1,-1
46,-0.08,37,20,17,14,9,7,2,0
47,-0.06,21,19,9,7,6,5,-4,-6
48,0.03,30,13,6,5,5,3,0,-1
49,-0.48,19,13,11,5,5,2,-1,-1
50,-0.98,19,11,7,5,5,4,2,-4
51,-3.02,19,7,6,6,0,0,-3,-3
52,-3.51,16,6,4,4,1,-2,-4,-13
53,-3.61,23,15,5,-4,-5,-7,-7,-8
54,-5.59,15,13,3,-5,-7,-9,-10,-10
55,-7.71,3,1,0,-1,-1,-2,-4,-5
56,-8.0,6,5,5,-4,-6,-6,-8,-9
57,-8.18,14,9,9,6,-2,-2,-2,-2
