,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Unnamed: 60,ORtg,DRtg,Player-additional.1,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.2,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1,Season
0,1,Steven Adams,C,26,OKC,63,63,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,adamsst01,1,Steven Adams,C,26,OKC,63,63,1680,8.2,13.8,0.592,0.0,0.1,0.333,8.2,13.7,0.594,3.4,5.8,0.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122.0,106,adamsst01,1,Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,0.185,,1.9,1.1,2.9,2.1,adamsst01,1,Steven Adams,C,26,OKC,63,1680,,,,,100%,4.5,5.3,33,27,62,20,87,5,336,17,32,adamsst01,1,Steven Adams,C,26,OKC,63,1680,0.592,4.4,,0.994,0.513,0.397,0.082,0.002,0.006,,0.594,0.743,0.416,0.513,1.0,0.333,,0.67,1.0,,0.176,78,,0.333,0.0,,1,1,adamsst01,2020
1,2,Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,adebaba01,2,Bam Adebayo,PF,22,MIA,72,72,2417,8.9,16.0,0.557,0.0,0.3,0.143,8.8,15.7,0.564,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116.0,106,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,0.168,,1.4,2.0,3.4,3.3,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,,,,57%,44%,4.9,6.1,94,53,99,32,174,7,928,42,60,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,0.557,5.8,,0.982,0.481,0.301,0.144,0.056,0.018,,0.564,0.726,0.445,0.404,0.227,0.143,,0.715,0.5,,0.219,157,,0.571,0.125,,1,0,adebaba01,2020
2,3,LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.6,0.493,1.7,4.3,0.389,9.0,17.3,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.3,,115.0,112,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,0.122,,1.8,-0.5,1.4,1.5,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,,,,6%,94%,-3.8,-5.3,13,20,70,29,83,1,309,23,20,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,0.493,13.7,,0.802,0.202,0.129,0.227,0.245,0.198,,0.519,0.719,0.471,0.461,0.433,0.389,,0.567,0.951,,0.044,31,,0.185,0.379,,1,0,aldrila01,2020
4,5,Nickeil Alexander-Walker,SG,21,NOP,47,1,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,1,591,7.7,20.8,0.368,3.6,10.4,0.346,4.1,10.4,0.391,2.0,2.9,0.676,0.7,5.9,6.6,7.0,1.3,0.6,4.2,4.5,20.9,,93.0,113,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.02,,-3.2,-1.4,-4.6,-0.4,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,3%,49%,45%,3%,,-4.2,-3.4,38,8,33,3,19,15,210,3,20,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,0.368,15.9,,0.5,0.244,0.173,0.053,0.03,0.5,,0.391,0.523,0.261,0.214,0.375,0.346,,0.192,0.913,,0.008,2,,0.188,0.36,,4,0,alexani01,2020
5,6,Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,allengr01,6,Grayson Allen,SG,24,MEM,38,0,718,7.6,16.3,0.466,3.7,9.2,0.404,3.9,7.2,0.545,2.5,2.9,0.867,0.5,5.0,5.5,3.4,0.7,0.1,2.1,3.4,21.5,,114.0,115,allengr01,6,Grayson Allen,SG,24,MEM,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,0.082,,-0.1,-1.2,-1.3,0.1,allengr01,6,Grayson Allen,SG,24,MEM,38,718,3%,74%,23%,,,-5.7,-6.3,19,8,34,1,19,10,127,4,9,allengr01,6,Grayson Allen,SG,24,MEM,38,718,0.466,16.9,,0.438,0.151,0.179,0.104,0.004,0.562,,0.545,0.711,0.444,0.5,0.0,0.404,,0.6,0.982,,0.044,10,,0.255,0.556,,0,0,allengr01,2020
6,7,Jarrett Allen,C,21,BRK,70,64,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,allenja01,7,Jarrett Allen,C,21,BRK,70,64,1852,7.7,11.9,0.649,0.0,0.2,0.0,7.7,11.7,0.658,4.4,6.9,0.633,5.5,11.6,17.1,2.8,1.0,2.4,2.0,4.1,19.8,,132.0,106,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,0.212,,1.4,1.0,2.3,2.0,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,,,,,100%,0.9,3.2,20,17,94,26,113,7,268,31,44,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,0.649,2.6,,0.987,0.755,0.211,0.019,0.002,0.013,,0.658,0.746,0.367,0.444,0.0,0.0,,0.795,,,0.447,177,,0.833,0.0,,0,0,allenja01,2020
8,9,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,0.291,1.2,4.6,0.25,2.0,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,,88.0,108,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,0.014,,-4.4,1.4,-3.0,-0.1,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,,,54%,46%,,-5.4,-5.0,7,3,13,4,14,3,46,1,4,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,0.291,13.3,,0.581,0.267,0.244,0.0,0.07,0.419,,0.32,0.435,0.19,,0.333,0.25,,0.438,0.889,,0.012,1,,0.222,0.375,,0,0,aminual01,2020
10,11,Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,anderky01,11,Kyle Anderson,SF,26,MEM,67,28,1330,5.5,11.6,0.474,0.8,3.0,0.282,4.7,8.6,0.541,1.8,2.7,0.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109.0,109,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,0.091,,-1.5,2.0,0.5,0.9,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,,,67%,31%,1%,-3.0,-3.7,35,17,59,6,40,12,369,7,17,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,0.474,11.8,,0.743,0.26,0.263,0.136,0.085,0.257,,0.541,0.663,0.506,0.4,0.5,0.282,,0.541,1.0,,0.03,10,,0.518,0.25,,2,0,anderky01,2020
12,13,Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,16.3,29.5,0.553,2.1,7.0,0.304,14.2,22.5,0.631,9.5,15.0,0.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116.0,97,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,0.279,,7.4,4.1,11.5,6.6,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,,,,77%,23%,15.8,12.7,66,58,50,65,306,10,902,94,69,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,0.553,9.8,,0.763,0.482,0.16,0.073,0.048,0.237,,0.631,0.779,0.343,0.433,0.4,0.304,,0.438,0.551,,0.17,197,,0.034,0.5,,0,0,antetgi01,2020
14,15,Thanasis Antetokounmpo,SF,27,MIL,20,2,6.5,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.5,0.4,0.9,0.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,2,129,8.5,17.0,0.5,0.0,3.5,0.0,8.5,13.5,0.632,2.5,6.0,0.412,4.2,4.2,8.5,5.3,2.5,0.7,4.2,6.4,19.5,,98.0,103,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,,-0.1,0.2,0.2,0.07,,-4.6,1.4,-3.2,0.0,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,,22%,65%,13%,,-3.1,-13.6,5,2,6,4,8,1,38,2,3,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,0.5,8.1,,0.792,0.667,0.063,0.063,0.0,0.208,,0.632,0.656,0.333,0.667,,0.0,,0.583,,,0.229,11,,0.4,0.0,,2,0,antetth01,2020
