Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999,Season
1,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,achiupr01,1,Precious Achiuwa,C,22,TOR,73,28,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13,0.468,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,,105,110,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2,-0.6,-2.6,-0.2,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,,,,2%,98%,2.2,0,19,26,70,24,64,10,200,15,51,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,,0.741,0.348,0.274,0.085,0.035,0.259,,0.468,0.614,0.345,0.373,0.19,0.359,,0.598,0.964,,0.143,67,,0.429,0.313,,0,0,achiupr01,2022
2,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0,0,0,2.8,5,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10,3.4,0.9,0.8,1.5,2,6.9,adamsst01,2,Steven Adams,C,28,MEM,76,75,1999,5,9.2,0.547,0,0,0,5,9.2,0.548,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,,125,108,adamsst01,2,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22,19.9,16.1,1.6,2.7,19.6,12,,3.8,3,6.8,0.163,,1,1,2,2,adamsst01,2,Steven Adams,C,28,MEM,76,1999,,,,,100%,7.9,4.2,71,15,78,19,83,13,569,23,44,adamsst01,2,Steven Adams,C,28,MEM,76,1999,0.547,2.9,,0.997,0.693,0.26,0.042,0.003,0.003,,0.548,0.632,0.35,0.438,0,0,,0.49,,,0.143,48,,0,,,1,0,adamsst01,2022
3,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13,0.557,0,0.1,0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,adebaba01,3,Bam Adebayo,C,24,MIA,56,56,1825,11.1,20,0.557,0,0.2,0,11.1,19.8,0.562,7,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,,117,104,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,,,,2%,98%,7.6,5.5,59,39,72,38,173,8,480,48,40,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,0.557,7,,0.992,0.395,0.309,0.2,0.088,0.008,,0.562,0.771,0.467,0.404,0.313,0,,0.608,,,0.181,119,,0,,,2,0,adebaba01,2022
4,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1,0.625,1,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,aldamsa01,4,Santi Aldama,PF,21,MEM,32,0,360,7,17.5,0.402,0.8,6.4,0.125,6.2,11.2,0.56,2.7,4.3,0.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,,101,111,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,0.044,,-4.2,-1.5,-5.7,-0.3,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,,,3%,49%,49%,2.3,-3.8,7,3,16,5,16,1,58,5,5,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,0.402,12,,0.636,0.333,0.205,0.091,0.008,0.364,,0.56,0.682,0.444,0.417,0,0.125,,0.638,1,,0.076,10,,0.229,0.364,,0,0,aldamsa01,2022
5,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1,0.9,1.7,12.9,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,12,1050,11.6,21.1,0.55,0.6,2.1,0.304,11,19,0.578,4.1,4.7,0.873,3.4,8.5,11.9,1.9,0.6,2.2,2,3.6,28,,119,112,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4,8,22.4,,2.1,1,3.1,0.141,,1.3,-0.6,0.7,0.7,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,,,,,100%,1.5,0.1,12,11,46,12,56,0,110,22,11,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,0.55,12.3,,0.9,0.21,0.17,0.24,0.279,0.1,,0.578,0.729,0.513,0.509,0.563,0.304,,0.748,1,,0.039,18,,0.283,0.308,,0,0,aldrila01,2022
6,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,8.5,22.9,0.372,3.5,11.4,0.311,5,11.5,0.433,2.7,3.7,0.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,,98,114,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,3%,42%,41%,14%,,-4.1,-5.6,63,18,48,7,47,11,373,7,43,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,,0.503,0.213,0.162,0.071,0.057,0.497,,0.433,0.579,0.318,0.375,0.282,0.311,,0.399,0.876,,0.015,8,,0.24,0.37,,2,0,alexani01,2022
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,alexani01,6,Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,8.9,23.7,0.375,3.6,11.4,0.311,5.3,12.3,0.434,2.6,3.6,0.722,1.3,4.8,6.1,5.2,1.5,0.7,3.2,3.3,23.9,,97,115,alexani01,6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,10.5,0.474,0.483,0.153,3,11,6.9,16.1,1.5,1.4,11.2,24.8,,-1.1,0.9,-0.1,-0.005,,-1.7,-1.3,-3,-0.3,alexani01,6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,4%,40%,42%,15%,,-5.3,-6.3,58,16,39,6,42,11,329,5,41,alexani01,6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,0.375,15.6,,0.517,0.217,0.166,0.074,0.06,0.483,,0.434,0.584,0.333,0.362,0.263,0.311,,0.408,0.895,,0.014,8,,0.23,0.371,,2,0,alexani01,2022
6,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1,3.5,alexani01,6,Nickeil Alexander-Walker,SG,23,UTA,15,2,149,5.3,15.9,0.333,3.3,10.9,0.303,2,5,0.4,3.6,4,0.917,0.3,7.3,7.6,5.6,1.7,1.3,2.7,5,17.6,,105,110,alexani01,6,Nickeil Alexander-Walker,SG,23,UTA,15,149,10.2,0.497,0.688,0.25,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,,0,0.2,0.2,0.07,,-2.9,1.2,-1.7,0,alexani01,6,Nickeil Alexander-Walker,SG,23,UTA,15,149,,61%,38%,1%,,6.6,0.6,5,2,9,1,5,0,44,2,2,alexani01,6,Nickeil Alexander-Walker,SG,23,UTA,15,149,0.333,18.4,,0.313,0.167,0.104,0.021,0.021,0.688,,0.4,0.5,0,1,1,0.303,,0.167,0.7,,0.021,0,,0.333,0.364,,0,0,alexani01,2022
7,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,allengr01,7,Grayson Allen,SG,26,MIL,66,61,1805,6.8,15.1,0.448,4.2,10.4,0.409,2.6,4.8,0.533,1.7,2,0.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,,122,114,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.4,1.1,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,6%,84%,11%,,,5.6,4.4,27,7,46,5,30,8,242,6,25,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,,0.316,0.158,0.097,0.047,0.014,0.684,,0.533,0.678,0.4,0.37,0.375,0.409,,0.646,0.912,,0.023,10,,0.26,0.455,,0,0,allengr01,2022
8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,allenja01,8,Jarrett Allen,C,23,CLE,56,56,1810,10.2,15,0.677,0,0.3,0.1,10.2,14.8,0.688,4.6,6.4,0.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25,,132,106,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,23,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3,8.5,0.224,,2.7,1.2,3.9,2.7,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,,,,,100%,4.4,4.2,36,36,58,11,112,16,219,32,36,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,0.677,3.8,,0.982,0.624,0.294,0.046,0.018,0.018,,0.688,0.809,0.469,0.48,0.6,0.1,,0.734,0,,0.343,164,,0.6,0,,0,0,allenja01,2022
